1,Refrigeradora LG Top Freezer GT57BPSX,85.5,0.96,0.8,1.76,40.0,-12.07927,-77.063227
2,Televisor TCL SMART TV 65 QLED 4K UHD,17.3,0.3,1.09,0.83,0.0,-12.07927,-77.063227
3,Lavadora Samsung Bubble Smart WA19CG6886BVPE,51.0,0.74,0.7,1.17,34.0,-12.053728,-76.948494
4,Horno Eléctrico Modelo 3,7.25,0.43,0.52,0.38,6.0,-12.07927,-77.063227
5,Cocina MABE EMP5120GP1,24.5,0.54,0.52,0.915,15.0,-12.085846,-76.971214
6,Cafetera Frappé Oster BVSTDC03B-053,6.85,0.26,0.32,0.35,6.0,-12.103733,-77.187358
7,Lavavajillas Electrolux - EHFE14T2MSBXB,48.0,0.61,0.6,0.84,40.0,-11.995199,-77.176887
8,Grill Oster CKSTGR4768-053,2.7,0.45,0.32,0.322,0.0,-12.075262,-77.154321
9,Televisor LG Smart TV 55 Nanocell 4K UHD,14.1,0.23,1.03,0.78,0.0,-12.097622,-77.036002
10,Horno Microondas LG MS2536GIS,11.0,0.54,0.417,0.294,10.0,-12.0545,-77.1176
11,Aspiradora Bosch Serie 4,8.3,0.58,0.36,0.31,0.0,-12.053728,-76.948494
12,Licuadora Miray LIM-9,1.3,0.133,0.22,0.35,0.0,-12.134781,-77.014236
13,Horno Eléctrico Empotrable Indurama HEI-75V2NET,31.0,0.57,0.59,0.59,20.0,-12.041548,-77.142166
14,Refrigeradora LG Top Freezer VT37BPM,70.0,0.72,0.73,1.79,40.0,-12.085846,-76.971214
15,Cafetera Electrolux ECM30,6.85,0.26,0.32,0.35,6.0,-12.143153,-77.128616
16,Cocina Klimatic Munchen,26.6,0.552,0.495,0.85,15.0,-12.097622,-77.036002
17,Lavaseca LG WD9PVC4S6 AI DD,66.0,0.58,0.66,0.89,40.0,-12.134781,-77.014236
